# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 171K of event 'task-clock:ppp'
# Event count (approx.): 42928250000
#
# Overhead  Command         Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
# ........  ..............  ....................  ......................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.00%  tsp_ga2opt_omp  [kernel.kallsyms]     [k] 0xffffffffa910fb24
     0.00%  tsp_ga2opt_omp  [kernel.kallsyms]     [k] 0xffffffffa94696af
     0.00%  tsp_ga2opt_omp  [kernel.kallsyms]     [k] 0xffffffffaa1b3c2a
     0.00%  tsp_ga2opt_omp  libgomp.so.1.0.0      [.] GOMP_loop_end
     0.00%  tsp_ga2opt_omp  libgomp.so.1.0.0      [.] GOMP_loop_nonmonotonic_dynamic_next
     0.00%  tsp_ga2opt_omp  libgomp.so.1.0.0      [.] omp_get_thread_num
     0.00%  tsp_ga2opt_omp  libgomp.so.1.0.0      [.] 0x00000000000128a7
     0.00%  tsp_ga2opt_omp  libgomp.so.1.0.0      [.] 0x00000000000256cd
     0.00%  tsp_ga2opt_omp  libgomp.so.1.0.0      [.] 0x00000000000259e7
     0.00%  tsp_ga2opt_omp  libgomp.so.1.0.0      [.] 0x0000000000025cf6
     0.00%  tsp_ga2opt_omp  [kernel.kallsyms]     [k] 0xffffffffa900597e
     0.00%  tsp_ga2opt_omp  [kernel.kallsyms]     [k] 0xffffffffa9138cd8
     0.00%  tsp_ga2opt_omp  [kernel.kallsyms]     [k] 0xffffffffa916d861
     0.00%  tsp_ga2opt_omp  [kernel.kallsyms]     [k] 0xffffffffa91a44d5
     0.00%  tsp_ga2opt_omp  [kernel.kallsyms]     [k] 0xffffffffa9226d40
     0.00%  tsp_ga2opt_omp  [kernel.kallsyms]     [k] 0xffffffffa93af8b0
     0.00%  tsp_ga2opt_omp  [kernel.kallsyms]     [k] 0xffffffffa93b7dd0
     0.00%  tsp_ga2opt_omp  [kernel.kallsyms]     [k] 0xffffffffa93bccd7
     0.00%  tsp_ga2opt_omp  [kernel.kallsyms]     [k] 0xffffffffa93c4872
     0.00%  tsp_ga2opt_omp  [kernel.kallsyms]     [k] 0xffffffffa93d70fe
     0.00%  tsp_ga2opt_omp  [kernel.kallsyms]     [k] 0xffffffffa9425c77
     0.00%  tsp_ga2opt_omp  [kernel.kallsyms]     [k] 0xffffffffa9435432
     0.00%  tsp_ga2opt_omp  [kernel.kallsyms]     [k] 0xffffffffa946969f
     0.00%  tsp_ga2opt_omp  [kernel.kallsyms]     [k] 0xffffffffa94c946a
     0.00%  tsp_ga2opt_omp  [kernel.kallsyms]     [k] 0xffffffffa94cb126
     0.00%  tsp_ga2opt_omp  [kernel.kallsyms]     [k] 0xffffffffa94cfc48
     0.00%  tsp_ga2opt_omp  [kernel.kallsyms]     [k] 0xffffffffa9b00b05
     0.00%  tsp_ga2opt_omp  [kernel.kallsyms]     [k] 0xffffffffa9b053fd
     0.00%  tsp_ga2opt_omp  [kernel.kallsyms]     [k] 0xffffffffa9ffa402
     0.00%  tsp_ga2opt_omp  [kernel.kallsyms]     [k] 0xffffffffaa1a914a
     0.00%  tsp_ga2opt_omp  [kernel.kallsyms]     [k] 0xffffffffaa1acc43
     0.00%  tsp_ga2opt_omp  [kernel.kallsyms]     [k] 0xffffffffaa1b3005
     0.00%  tsp_ga2opt_omp  [kernel.kallsyms]     [k] 0xffffffffaa1bc4be
     0.00%  tsp_ga2opt_omp  [kernel.kallsyms]     [k] 0xffffffffaa1be819
